id,title,abstract
501,an energy - minimal simulation is proposed to study the patterns and mechanical,"an energy - minimal simulation is proposed to study the patterns and mechanical properties of elastically crumpled wires in two dimensions . 
 we varied the bending rigidity and stretching modulus to measure the energy allocation , size - mass exponent , and the stiffness exponent . 
 the mass exponent is shown to be universal at value @xmath0 . 
 we also found that the stiffness exponent @xmath1 is universal , but varies with the plasticity parameters @xmath2 and @xmath3 . 
 these numerical findings agree excellently with the experimental results ."
502,we discuss the effect of disorder on the coherent propagation of the bound state,"we discuss the effect of disorder on the coherent propagation of the bound state of two attracting particles . 
 it is shown that a result analogous to the anderson theorem for dirty superconductors is also valid for the cooper problem , namely , that the pair wave function is extended beyond the single - particle localization length if the latter is large . 
 a physical justification is given in terms of the thouless block - scaling picture of localization . 
 these arguments are supplemented by numerical simulations . 
 with increasing disorder we find a transition from a regime in which the interaction delocalizes the pair to a regime in which the interaction enhances localization ."
503,a microscopic few - body description of near - threshold coherent photoproductio,"a microscopic few - body description of near - threshold coherent photoproduction of the @xmath0 meson on tritium and @xmath1he targets is given . 
 the photoproduction cross - section is calculated using the finite rank approximation ( fra ) of the nuclear hamiltonian . 
 the results indicate a strong final state interaction of the @xmath0 meson with the residual nucleus . 
 sensitivity of the results to the choice of the @xmath2 @xmath3-matrix is investigated . 
 pacs numbers : 25.80.-e , 21.45.+v , 25.10.+s"
504,"based on a lie symmetry analysis , we construct a closed form solution to the ki","based on a lie symmetry analysis , we construct a closed form solution to the kinematic part of the ( partial differential ) cosserat equations describing the mechanical behavior of elastic rods . 
 the solution depends on two arbitrary analytical vector functions and is analytical everywhere except a certain domain of the independent variables in which one of the arbitrary vector functions satisfies a simple explicitly given algebraic relation . as our main theoretical result , in addition to the construction of the solution , we proof its generality . based on this observation , a hybrid semi - analytical solver for highly viscous two - way coupled fluid - rod problems 
 is developed which allows for the interactive high - fidelity simulations of flagellated microswimmers as a result of a substantial reduction of the numerical stiffness . 
 rods , differential thomas decomposition , flagellated microswimmers , general analytical solution , kinematic equations , lie symmetry analysis , stokes flow , symbolic computation ."
505,we study the free path length and the geometric free path length in the model of,"we study the free path length and the geometric free path length in the model of the periodic two - dimensional lorentz gas ( sinai billiard ) . we give a complete and rigorous proof for the existence of their distributions in the small - scatterer limit and 
 explicitly compute them . as a corollary one 
 gets a complete proof for the existence of the constant term @xmath0 in the asymptotic formula @xmath1 of the ks entropy of the billiard map in this model , as conjectured by p. dahlqvist ."
506,"we present the results of a 2-d , two fluid ( ions and neutrals ) simulation of","we present the results of a 2-d , two fluid ( ions and neutrals ) simulation of the ambipolar filamentation process , in which a magnetized , weakly ionized plasma is stirred by turbulence in the ambipolar frequency range . 
 the higher turbulent velocity of the neutrals in the most ionized regions gives rise to a non - linear force driving them out of these regions , so that the initial ionization inhomogeneities are strongly amplified . 
 this effect , the ambipolar filamentation , causes the ions and the magnetic flux to condense and separate from the neutrals , resulting in a filamentary structure 
 .    # 1 # 1    0.5 cm"
507,we present two - color modulation transfer spectroscopy as a tool for precision,"we present two - color modulation transfer spectroscopy as a tool for precision studies of atomic properties of excited states . 
 the bi - colored technique addresses a narrow set of velocity groups of a thermal atomic vapour using a two - step transition to 
 burn a hole "" in the velocity distribution . 
 the resulting spectrum presents sub - doppler linewidths , good signal to noise ratio and the trademark sidebands that work as an _ in situ _ 
 ruler for the energy spacing between atomic resonances . 
 the spectra obtained can be used for different applications such as measurements of energy splittings or stabilization of laser frequencies to excited atomic transitions . 
 = 10000"
508,recent progress in obtaining high spatial resolution images of the solar corona,"recent progress in obtaining high spatial resolution images of the solar corona in the extreme - ultraviolet ( euv ) with hinode , trace , sdo and recent hi - c missions and soft x - ray ( sxr ) bands opened a new avenue in understanding the solar coronal heating , the major goal of solar physics . 
 the data from euv / sxr missions suggest that solar corona is a non - uniform environment structured into active regions ( ar ) represented by bundles magnetic loops heated to temperatures exceeding 5 mk . 
 any viable coronal heating model should be capable of reproducing euv and sxr emission from coronal active regions well as dynamic activity . 
 measurements of emission measures ( em ) for ars provide clues to time dependence of the heating mechanism : static versus impulsive . 
 while static equilibrium coronal loop models are successful in reproducing sxr emission within an ar , they can not adequately predict the bright euv loops . 
 meantime , impulsive heating is capable in reproducing both euv and sxr loop emission . 
 the major goal of this paper is to construct realistic synthetic em images of specific solar corona active region , ar 11117 by using our 1d fully non - linear time - dependent single - fluid hydrodynamic code . 
 we first construct a magnetic skeleton for the entire active region using the hmi / sdo magnetogram for ar 11117 and populate magnetic field lines with plasma . 
 we then parametrically specify impulsive heating of individual strands ( flux tubes ) comprising coronal loops . 
 next , we simulated the response of the entire active region ( with los projection effects ) to the heating function ( volumetric heating rate ) scaled with magnetic field and spatial scale parameters and find the best match between synthetic and actual ( reconstructed ) dems obtained by sdo ."
509,high resolution spectra of the active binary capella ( g8 iii + g1 iii ) coverin,"high resolution spectra of the active binary capella ( g8 iii + g1 iii ) covering the energy range 0.4 - 8.0 kev ( 1.5 - 30 ) show a large number of emission lines , demonstrating the performance of the hetgs . 
 a preliminary application of plasma diagnostics provides information on coronal temperatures and densities . 
 lines arising from different elements in a range of ionization states indicate that capella has plasma with a broad range of temperatures , from @xmath0 , generally consistent with recent results from observations with the extreme ultraviolet explorer ( euve ) and the advanced satellite for cosmology and astrophysics ( asca ) . 
 the electron density is determined from he - like o  vii lines , giving the value @xmath1 at @xmath2 ; he - like lines formed at higher temperatures give only upper limits to the electron density . 
 the density and emission measure from o  vii lines together indicate that the coronal loops are significantly smaller than the stellar radius ."
510,the focus of this paper is on the co - design of control and communication proto,"the focus of this paper is on the co - design of control and communication protocol for the control of multiple applications with unknown parameters using a distributed embedded system . 
 the co - design consists of an adaptive switching controller and a hybrid communication architecture that switches between a time - triggered and event - triggered protocol . 
 it is shown that the overall co - design leads to an overall switching adaptive system that has bounded solutions and ensures tracking in the presence of a class of disturbances ."
511,we demonstrate that the non - relativistic fermions open the energy gap when the,"we demonstrate that the non - relativistic fermions open the energy gap when the su(n ) gauge bosons , mediating the interaction between fermions , acquire the mass . surprisingly , even though there is the su(n ) gauge symmetry , there is always one fermionic energy gap which is not degenerate to the rest of the @xmath0 fermions for @xmath1 in the fundamental representation . 
 energy gap , non - abelian gauge systems , strongly - correlated electrons"
512,the time dependence of the survival probability of an opinion in a closed commun,"the time dependence of the survival probability of an opinion in a closed community has been investigated in accordance with social temperature by using the kawasaki - exchange dynamics based on previous study in ref . [ 1 ] . 
 it is shown that the survival probability of opinion decays with stretched exponential law consistent with previous static model . 
 however , the crossover regime in the decay of the survival probability has been observed in this dynamic model unlike previous model . 
 the decay characteristics of both two regimes obey to stretched exponential . 
 * keywords : * ising model ; politics ; random walk ; sociophysics ; sznajd model ."
513,"as the title suggests , the purpose of this chapter is to review the current sta","as the title suggests , the purpose of this chapter is to review the current status of numerical simulations of black hole accretion disks . 
 this chapter focuses exclusively on _ global _ simulations of the accretion process within a few tens of gravitational radii of the black hole . 
 most of the simulations discussed are performed using general relativistic magnetohydrodynamic ( mhd ) schemes , although some mention is made of newtonian radiation mhd simulations and smoothed particle hydrodynamics . 
 the goal is to convey some of the exciting work that has been going on in the past few years and provide some speculation on future directions . 
 = 1"
514,we present a theoretical study of time - dependent quantum transport in a resona,"we present a theoretical study of time - dependent quantum transport in a resonant tunnel junction coupled to a nanomechanical oscillator within the non - equilibrium green s function technique . 
 an arbitrary voltage is applied to the tunnel junction and electrons in the leads are considered to be at zero temperature . 
 the transient and the steady state behavior of the system is considered here in order to explore the quantum dynamics of the oscillator as a function of time . 
 the properties of the phonon distribution of the nanomechnical oscillator strongly coupled to the electrons on the dot are investigated using a non - perturbative approach . 
 we consider both the energy transferred from the electrons to the oscillator and the fano factor as a function of time . 
 we discuss the quantum dynamics of the nanomechanical oscillator in terms of pure and mixed states . we have found a significant difference between a quantum and a classical oscillator . in particular , 
 the energy of a classical oscillator will always be dissipated by the electrons whereas the quantum oscillator remains in an excited state . 
 this will provide useful insight for the design of experiments aimed at studying the quantum behavior of an oscillator ."
515,free induction decay ( fid ) measured by nuclear magnetic resonance ( nmr ) in a,"free induction decay ( fid ) measured by nuclear magnetic resonance ( nmr ) in a polycrystalline solid is the isotropic average of the fids for individual single crystallites . 
 it has been recently proposed theoretically and verified experimentally that the long - time behavior of single - crystal fids has the universal form of exponentially decaying sinusoidal oscillations . 
 polycrystalline averaging complicates the situation theoretically , while the available experimental evidence is also ambiguous . 
 exponentially decaying sinusoidal oscillations have been observed for @xmath0xe in polycrystalline solid xenon but not for @xmath1f in the powder of caf@xmath2 . in this paper , we present the first principles fid calculations for the powders of both caf@xmath2 and solid xenon . in both cases , the asymptotic long - time behavior has the expected form of exponentially decaying sinusoidal oscillations , which is determined by the single crystallite fid with the slowest exponential decay . 
 however , this behavior appears only at rather small values of the signal that have not yet been measured in experiments . at intermediate times accessible experimentally , a polycrystalline fid depends on the distribution of the exponential decay constants and oscillation frequencies for single crystallite fids . in caf@xmath2 , these parameters are relatively broadly distributed , and as a result , the sinusoidal long - time oscillations become somewhat washed out . in contrast , the single crystallite parameters are more clustered in solid xenon , and , as a result , the experimentally observable range is characterized by well - defined oscillation frequency and exponential decay constant even though both of these parameters do not represent the true long - time behavior . 
 the above difference of the intermediate fid behavior originates from the difference of the crystal structures of solid xenon and caf@xmath2 ."
516,the m82 ` cap ' is a gas cloud at a projected radius of 11.6 kpc along the minor,"the m82 ` cap ' is a gas cloud at a projected radius of 11.6 kpc along the minor axis of this well known superwind source . 
 the cap has been detected in optical line emission and x - ray emission and therefore provides an important probe of the wind energetics . in order to investigate the ionization source of the cap 
 , we observed it with the kyoto3dii fabry - perot instrument mounted on the subaru telescope . 
 deep continuum , h@xmath0 , [ ] @xmath16583/h@xmath0 , and [ ] @xmath26716,6731/h@xmath0 maps were obtained with sub - arcsecond resolution . 
 the superior spatial resolution compared to earlier studies reveals a number of bright h@xmath0 emitting clouds within the cap . 
 the emission line widths ( @xmath3 km s@xmath4 fwhm ) and line ratios in the newly identified knots are most reasonably explained by slow to moderate shocks velocities ( @xmath5 = 4080 km s@xmath4 ) driven by a fast wind into dense clouds . 
 the momentum input from the m82 nuclear starburst region is enough to produce the observed shock . 
 consequently , earlier claims of photoionization by the central starburst are ruled out because they can not explain the observed fluxes of the densest knots unless the uv escape fraction is very high ( @xmath6 60% ) , i.e. , an order of magnitude higher than observed in dwarf galaxies to date . 
 using these results , we discuss the evolutionary history of the m82 superwind . 
 future uv / x - ray surveys are expected to confirm that the temperature of the gas is consistent with our moderate shock model ."
517,we substantially update the capabilities of the open source software package mod,"we substantially update the capabilities of the open source software package modules for experiments in stellar astrophysics ( ` mesa ` ) , and its one - dimensional stellar evolution module , ` mesa `  ` star ` . 
 improvements in ` mesa `  ` star ` s ability to model the evolution of giant planets now extends its applicability down to masses as low as one - tenth that of jupiter . the dramatic improvement in asteroseismology enabled by the space - based _ kepler _ and _ corot _ missions motivates our full coupling of the adipls adiabatic pulsation code with ` mesa `  ` 
 star ` . 
 this also motivates a numerical recasting of the ledoux criterion that is more easily implemented when many nuclei are present at non - negligible abundances . 
 this impacts the way in which ` mesa `  ` star `  calculates semi - convective and thermohaline mixing . 
 we exhibit the evolution of @xmath0 stars through the end of core he burning , the onset of he thermal pulses , and arrival on the white dwarf cooling sequence . we implement diffusion of angular momentum and chemical abundances that enable calculations of rotating - star models , which we compare thoroughly with earlier work . 
 we introduce a new treatment of radiation - dominated envelopes that allows the uninterrupted evolution of massive stars to core collapse . 
 this enables the generation of new sets of supernovae , long gamma - ray burst , and pair - instability progenitor models . 
 we substantially modify the way in which ` mesa `  ` star `   solves the fully coupled stellar structure and composition equations , and we show how this has improved the scaling of ` mesa ` s calculational speed on multi - core processors . 
 updates to the modules for equation of state , opacity , nuclear reaction rates , and atmospheric boundary conditions are also provided . 
 we describe the mesa software development kit ( ` sdk ` ) that packages all the required components needed to form a unified , maintained , and well - validated build environment for ` mesa ` . 
 we also highlight a few tools developed by the community for rapid visualization of ` mesa `  ` star `  results ."
518,we exploit the recent observations of extremely metal - poor ( emp ) stars in th,"we exploit the recent observations of extremely metal - poor ( emp ) stars in the galactic halo and investigate the constraints on the initial mass function ( imf ) of the stellar population that left these low - mass survivors of @xmath0}\lesssim -2.5 $ ] and the chemical evolution that took part in . 
 a high - mass nature of imf with the typical mass @xmath1 and the overwhelming contribution of low - mass members of binaries to the emp survivors are derived from the statistics of carbon - enriched emp stars with and without the enhancement of s - process elements ( komiya et al . 
 2007 , ) . that the same constraints are placed on the imf from the surface density of emp stars estimated from the surveys and the chemical evolution consistent with the metal yields of theoretical supernova models . 
 apply the derived high - mass imf with the binary contribution metallicity distribution function ( mdf ) of emp stars not only for the shape but also for the number of emp stars . 
 in particular , the scarcity of stars below @xmath0}\simeq -4 $ ] is naturally explained in terms of the hierarchical structure formation , and there is no indication of significant changes in the imf for the emp population . 
 the present study indicates that 3 hmp / ump stars of @xmath0 } < -4 $ ] are the primordial stars that were born as the low - mass members of binaries before the host clouds were polluted by their own supernovae ."
519,"integration of the form @xmath0 , where @xmath1 is either @xmath2 or @xmath3 , i","integration of the form @xmath0 , where @xmath1 is either @xmath2 or @xmath3 , is widely encountered in many engineering and scientific applications , such as those involving fourier or laplace transforms 
 . often such integrals are approximated by a numerical integration over a finite domain @xmath4 , leaving a truncation error equal to the tail integration @xmath5 in addition to the discretization error . 
 this paper describes a very simple , perhaps the simplest , end - point correction to approximate the tail integration , which significantly reduces the truncation error and thus increases the overall accuracy of the numerical integration , with virtually no extra computational effort . 
 higher order correction terms and error estimates for the end - point correction formula are also derived . 
 the effectiveness of this one - point correction formula is demonstrated through several examples . 
 * keywords : * numerical integration , fourier transform , laplace transform , truncation error ."
520,we present a detailed study of the transport and energetics of a brownian partic,"we present a detailed study of the transport and energetics of a brownian particle moving in a periodic potential in the presence of an adiabatic external periodic drive . 
 the particle is considered to move in a medium with periodic space dependent friction with the same periodicity as that of the potential but with a phase lag . 
 we obtain several results , most of them arising due to the medium being inhomogeneous and are sensitive to the phase lag . when the potential is symmetric we show that efficiency of energy transduction can be maximised as a function of noise strength or temperature . however , in the case of asymmtertic potential the temperature may or may not facilitate the energy conversion but current reversals can be obtained as a function of temperature and the amplitude of the periodic drive . 
 the reentrant behaviour of current can also be seen as a function of phase lag . 
 + pacs number(s ) : 05.40+j , 05.60+w , 82.20mj    = 0.3 in = 0.6 in"
521,a zero temperature dynamics of ising spin glasses and ferromagnets on random gra,"a zero temperature dynamics of ising spin glasses and ferromagnets on random graphs of finite connectivity is considered , like granular media these systems have an extensive entropy of metastable states . 
 we consider the problem of what energy a randomly prepared spin system falls to before becoming stuck in a metastable state . 
 we then introduce a tapping mechanism , analogous to that of real experiments on granular media , this tapping , corresponding to flipping simultaneously any spin with probability @xmath0 , leads to stationary regime with a steady state energy @xmath1 . 
 we explicitly solve this problem for the one dimensional ferromagnet and @xmath2 spin glass and carry out extensive numerical simulations for spin systems of higher connectivity . 
 the link with the density of metastable states at fixed energy and the idea of edwards that one may construct a thermodynamics with a flat measure over metastable states is discussed . 
 in addition our simulations on the ferromagnetic systems reveal a novel first order transition , whereas the usual thermodynamic transition on these graphs is second order . 
 0.5 cm    pacs numbers : 05.20 , 75.10 nr , 81.05 rm .    2"
522,the attenuation of atmospheric cherenkov photons is dominated by two processes :,"the attenuation of atmospheric cherenkov photons is dominated by two processes : rayleigh scattering from the molecular component and mie scattering from the aerosol component . 
 aerosols are expected to contribute up to 30 wm@xmath0 to the emission profile of the atmosphere , equivalent to a difference of @xmath1c to the clear sky brightness temperature under normal conditions . here 
 we investigate the aerosol contribution of the measured sky brightness temperature at the h.e.s.s . 
 site ; compare it to effective changes in the telescope trigger rates ; and discuss how it can be used to provide an assessment of sky clarity that is unambiguously free of telescope systematics . 
 address = department of physics , university of durham , durham , dh1 3le . 
 u.k . 
 address = lupm , un . 
 montpellier ii cc-072 , place eugenie bataillon , 34095 montpellier , france ."
523,recently it was shown that kink baryons and kink - antikink scattering in the ma,"recently it was shown that kink baryons and kink - antikink scattering in the massless gross - neveu model are closely related to one- and two - soliton solutions of the sinh - gordon equation . here 
 we generalize these findings to the case of @xmath0 kinks and antikinks . using the known @xmath0 soliton solution of the sinh - gordon equation 
 , we solve the general @xmath0 kink - antikink scattering problem in the large @xmath1 gross - neveu model analytically , mapping the time - dependent hartree - fock approach onto inverse scattering theory ."
524,-0.0 cm    we present a systematic study of the properties of pure hadronic and,"-0.0 cm    we present a systematic study of the properties of pure hadronic and hybrid compact stars . 
 the nuclear equation of state ( eos ) for @xmath0-equilibrated neutron star matter was obtained using density dependent effective nucleon - nucleon interaction which satisfies the constraints from the observed flow data from heavy - ion collisions . 
 the energy density of quark matter is lower than that of this nuclear eos at higher densities implying the possibility of transition to quark matter inside the core . 
 we solve the einstein s equations for rotating stars using pure nuclear matter and quark core . 
 the @xmath0- equilibrated neutron star matter with a thin crust is able to describe highly massive compact stars but find that the nuclear to quark matter deconfinement transition inside neutron stars causes reduction in their masses . 
 recent observations of the binary millisecond pulsar j1614 - 2230 by p. b. demorest et al . 
 @xcite suggest that the masses lie within 1.97@xmath10.04 m@xmath2 where m@xmath2 is the solar mass . in conformity with recent observations 
 , pure nucleonic eos determines that the maximum mass of ns rotating with frequency below r - mode instability is @xmath31.95 m@xmath2 with radius @xmath310 kilometers . 
 although compact stars with quark cores rotating with kepler s frequency have masses up to @xmath32 m@xmath2 , but if the maximum frequency is limited by the r - mode instability , the maximum mass @xmath31.7 m@xmath2 turns out to be lower than the observed mass of 1.97@xmath10.04 m@xmath2 , by far the highest yet measured with such certainty , implying exclusion of quark cores for such massive pulsars . 0.2 cm _ pacs numbers _ : 26.60.-c , 21.65.cd , 21.65.ef , 26.60.kp , 12.38.-t , 12.39.-x , 21.65.qr    -0.0 cm    and    -0.0 cm    -0.29 cm    -0.0 cm    neutron star ; nuclear eos ; quark eos ; hybrid star .    -0.0"
525,we report measurements of the exclusive electroproduction of @xmath0 and @xmath1,"we report measurements of the exclusive electroproduction of @xmath0 and @xmath1 final states from an unpolarized proton target using the clas detector at the thomas jefferson national accelerator facility . 
 the separated structure functions @xmath2 , @xmath3 , @xmath4 , and @xmath5 were extracted from the @xmath6-dependent differential cross sections acquired with a longitudinally polarized 5.499  gev electron beam . 
 the data span a broad range of momentum transfers @xmath7 from 1.4 to 3.9  gev@xmath8 , invariant energy @xmath9 from threshold to 2.6  gev , and nearly the full center - of - mass angular range of the kaon . 
 the separated structure functions provide an unprecedented data sample , which in conjunction with other meson photo- and electroproduction data , will help to constrain the higher - level analyses being performed to search for missing baryon resonances ."
526,"to elucidate the mechanism by which chaos is generated in the shell model , we c","to elucidate the mechanism by which chaos is generated in the shell model , we compare three random  matrix ensembles : the gaussian orthogonal ensemble , french s two  body embedded ensemble , and the two  body random ensemble ( tbre ) of the shell model . of these , 
 the last two take account of the two  body nature of the residual interaction , and only the last , of the existence of conserved quantum numbers like spin , isospin , and parity . 
 while the number of independent random variables decreases drastically as we follow this sequence , the complexity of the ( fixed ) matrices which support the random variables , increases even more . in that sense 
 we can say that in the tbre , chaos is largely due to the existence of ( an incomplete set of ) symmetries .    shell model , symmetry , complexity 21.10.-k , 05.45.mt , 24.60.-k"
527,the field of complex self - assembly is moving toward the design of multi - part,"the field of complex self - assembly is moving toward the design of multi - particle structures consisting of thousands of distinct building blocks . to exploit the potential benefits of structures with such ` addressable complexity , ' we need to understand the factors that optimize the yield and the kinetics of self - assembly . here 
 we use a simple theoretical method to explain the key features responsible for the unexpected success of dna - brick experiments , which are currently the only demonstration of reliable self - assembly with such a large number of components . 
 simulations confirm that our theory accurately predicts the narrow temperature window in which error - free assembly can occur . 
 even more strikingly , our theory predicts that correct assembly of the complete structure may require a time - dependent experimental protocol . 
 furthermore , we predict that low coordination numbers result in non - classical nucleation behavior , which we find to be essential for achieving optimal nucleation kinetics under mild growth conditions . we also show that , rather surprisingly , the use of heterogeneous bond energies improves the nucleation kinetics and in fact appears to be necessary for assembling certain intricate three - dimensional structures . 
 this observation makes it possible to sculpt nucleation pathways by tuning the distribution of interaction strengths . 
 these insights not only suggest how to improve the design of structures based on dna bricks , but also point the way toward the creation of a much wider class of chemical or colloidal structures with addressable complexity . 
 recent experiments with short pieces of single - stranded dna@xcite have shown that it is possible to assemble well - defined molecular superstructures from a single solution with more than merely a handful of distinct building blocks . 
 these experiments use complementary dna sequences to encode an addressable structure@xcite in which each distinct single - stranded ` brick ' belongs in a specific location within the target assembly . 
 a remarkable feature of these experiments is that even without careful control of the subunit stoichiometry or optimization of the dna sequences , a large number of two- and three - dimensional designed structures with thousands of subunits assemble reliably.@xcite the success of this approach is astounding given the many ways in which the assembly of an addressable structure could potentially go wrong.@xcite    any attempt to optimize the assembly yield or to create even more complex structures should be based on a better understanding of the mechanism by which dna bricks manage to self - assemble robustly . 
 the existence of a sizable nucleation barrier , as originally proposed in refs . 
 and , would remedy two possible sources of error that were previously thought to limit the successful assembly of multicomponent nanostructures : the depletion of free monomers and the uncontrolled aggregation of partially formed structures . slowing 
 the rate of nucleation would suppress competition among multiple nucleation sites for available monomers and give the complete structure a chance to assemble before encountering other partial structures . 
 recent simulations of a simplified model of a three - dimensional addressable structure have provided evidence of a free - energy barrier for nucleation,@xcite suggesting that the ability to control this barrier should enable the assembly of a wide range of complex nanostructures . we therefore need to be able to predict how such a barrier depends on the design of the target structure and on the choice of dna sequences . until now 
 , however , there have been no reliable techniques to predict the existence , let alone the magnitude , of a nucleation barrier for self - assembly in a mixture of complementary dna  bricks . 
 here we show that the assembly of three - dimensional dna - brick nanostructures is indeed a nucleated process , but only in a narrow range of temperatures . the nucleation barrier in these systems 
 is determined entirely by the topology of the designed interactions that stabilize the target structure . 
 controllable nucleation is therefore a general feature of addressable structures that can be tuned through the rational choice of designed interactions . 
 we find that the reliable self - assembly of three - dimensional dna bricks is a direct consequence of their unusual nucleation behavior , which is not accounted for by existing theories that work for classical examples of self - assembly , such as crystal nucleation . 
 we are thus able to provide a rational basis for the rather unconventional protocol used in the recent dna - brick experiments by showing that they exploit a narrow window of opportunity where robust multicomponent self - assembly can take place ."
